Location,state,county,community,communityname,lat,lng,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
"Daly City, California",6,?,?,DalyCitycity,37.7057657,-122.4619166,1,0.13,0.71,0.15,0.07,1,0.41,0.4,0.52,0.35,0.33,0.15,1,0.49,0.71,0.16,0.47,0.36,0.4,0.45,0.47,0.33,0.37,0.4,0.22,0.32,0.34,0.38,0.06,0.18,0.33,0.36,0.38,0.32,0.62,0.2,0.29,0.35,0.3,0.41,0.55,0.46,0.46,0.85,0.62,0.56,0.68,0.62,0.83,0.81,0.05,0.3,0.28,0.36,0.43,0.52,0.57,1,1,1,1,0,0.58,0.88,0.82,0.77,0.79,0.72,0.49,0.91,0.63,0,0.06,0.87,0.49,0.1,0.2,0.46,0.05,0.28,0.75,0.74,0.7,0.73,0.67,0.82,0.67,0.58,0.67,0.19,0.07,0.14,1,0.35,0.53,0.39,0.62,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,1,1,?,?,?,?,0,?,0.24
"Rockville Centre, New York",36,?,?,RockvilleCentrevillage,40.6587138,-73.6412406,1,0.02,0.46,0.08,0.91,0.07,0.1,0.34,0.36,0.22,0.57,0.04,1,0.72,0.53,0.23,0.74,0.63,0.17,0.59,0.8,0.72,0.71,0.36,0.7,0.43,0.35,0.41,0.01,0.07,0.18,0.19,0.72,0.18,0.51,0.18,0.67,0.13,0.79,0.18,0.4,0.24,0.22,0.59,0.85,0.87,0.89,0.78,0.31,0.39,0.01,0.14,0.01,0.11,0.17,0.21,0.27,0.05,0.07,0.08,0.1,0.82,0.08,0.34,0.31,0.5,0.64,0.2,0.72,0.09,0.41,0.5,0.02,0.89,0.62,0.07,0.43,0.06,0.02,0.09,0.74,0.76,0.79,0.45,0.54,0.65,0.49,0.39,0.51,0.68,0.01,0,0.2,0.88,0.91,0.9,0.93,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.63,1,?,?,?,?,0,?,0.08
"Needham, Massachusetts",25,21,44105,Needhamtown,42.283431,-71.2328329,1,0.03,0.47,0.01,0.96,0.13,0.02,0.29,0.32,0.2,0.52,0.04,1,0.8,0.55,0.18,0.87,0.51,0.07,0.55,0.82,0.78,0.77,0.62,0.14,0.54,0.17,0.46,0.01,0.07,0.07,0.07,0.89,0.24,0.55,0.29,0.73,0.1,0.88,0.13,0.38,0.2,0.18,0.5,0.87,0.9,0.87,0.73,0.33,0.48,0,0.03,0.01,0.25,0.28,0.26,0.25,0.13,0.13,0.11,0.1,0.87,0.05,0.18,0.19,0.5,0.55,0.25,0.83,0.02,0.25,0.5,0.01,0.94,0.78,0,0.26,0.29,0.01,0.15,0.71,0.69,0.68,0.6,0.82,1,0.87,0.4,0.39,0.46,0,0,0.22,0.66,0.82,0.66,0.73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.03,0.18,0.59,?,?,?,?,0,?,0.06
"Grand Chute, Wisconsin",55,87,30075,GrandChutetown,44.2815913,-88.4384087,1,0.01,0.44,0,0.98,0.04,0.01,0.35,0.53,0.32,0.23,0.02,0.77,0.46,0.77,0.41,0.73,0.28,0.1,0.22,0.47,0.41,0.4,0.38,0.32,0.09,0.13,0.75,0,0.07,0.2,0.22,0.42,0.13,0.76,0.67,0.24,0.42,0.47,0.37,0.39,0.27,0.32,0.47,0.88,0.92,0.88,0.82,0.56,0.6,0,0.08,0,0.08,0.06,0.25,0.22,0.01,0,0.02,0.01,0.96,0.05,0.14,0.14,0.45,0.63,0.19,0.65,0.04,0.45,0.5,0.01,0.92,0.55,0.05,0.21,0.85,0.08,0.07,0.19,0.18,0.18,0.35,0.32,0.32,0.29,0.16,0.35,0.26,0.01,0,0.03,0.86,0.43,0.47,0.69,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.08,0.04,0,?,?,?,?,0,?,0.09
"Dana Point, California",6,?,?,DanaPointcity,33.4669721,-117.6981075,1,0.04,0.36,0.01,0.85,0.14,0.26,0.32,0.46,0.3,0.31,0.05,1,0.71,0.67,0.42,0.55,0.25,0.14,0.36,0.7,0.79,0.82,0.29,0.37,0.53,0.28,0.38,0.02,0.18,0.11,0.14,0.58,0.19,0.68,0.28,0.35,0.15,0.61,0.6,0.5,0.68,0.66,0.35,0.66,0.68,0.87,0.59,0.3,0.3,0.01,0.1,0.03,0.69,0.74,0.7,0.69,0.65,0.61,0.53,0.47,0.74,0.32,0.26,0.22,0.39,0.37,0.45,0.47,0.21,0.54,0.5,0.1,0.43,0.5,0,0.19,0.79,0.07,0.07,0.88,0.93,0.97,0.96,0.91,1,0.87,0.55,0.81,0.21,0,0.11,0.4,0.42,0.31,0.51,0.53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.4,0.15,?,?,?,?,0,?,0.21
"Fort Dodge, Iowa",19,187,91370,FortDodgecity,42.4974694,-94.1680158,1,0.03,0.34,0.06,0.93,0.03,0.03,0.39,0.41,0.28,0.58,0,0,0.18,0.42,0.81,0.49,0.62,0.37,0.41,0.21,0.22,0.21,0.16,0.12,0.46,0.33,0.28,0.03,0.33,0.3,0.37,0.24,0.32,0.42,0.38,0.48,0.48,0.36,0.5,0.34,0.45,0.49,0.38,0.55,0.6,0.61,0.52,0.64,0.71,0.01,0.19,0,0.05,0.04,0.03,0.13,0,0,0,0.01,0.95,0.03,0.14,0.12,0.32,0.39,0.22,0.62,0.04,0.53,0.5,0.04,0.76,0.58,0.41,0.47,0.25,0.24,0.44,0.04,0.04,0.05,0.1,0.13,0.14,0.13,0.4,0.2,0.35,0.01,0,0.03,0.85,0.6,0.74,0.78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.15,0.04,?,?,?,?,0,?,0.3
"Albany, New York",36,1,1000,Albanycity,42.6525793,-73.7562317,1,0.15,0.31,0.4,0.63,0.14,0.06,0.58,0.72,0.65,0.47,0.16,1,0.22,0.52,0.1,0.51,0.48,0.39,0.51,0.3,0.29,0.34,0.23,0.13,0.2,0.2,0.3,0.15,0.48,0.3,0.38,0.47,0.37,0.44,0.08,0.73,0.21,0.53,0.5,0.94,0.45,0.49,0.36,0.2,0.25,0.25,0.19,0.61,0.65,0.13,0.73,0.05,0.39,0.39,0.46,0.46,0.21,0.19,0.2,0.18,0.81,0.08,0.22,0.13,0.21,0.33,0.22,0.24,0.1,0.6,0,0.22,0.64,0.22,0.79,0.6,0,0.4,0.26,0.23,0.23,0.23,0.31,0.32,0.36,0.33,0.52,0.35,0.4,0.23,0.02,0.23,0.8,0.41,0.53,0.8,0.06,0.3,0.93,0.38,0.05,0.21,0.23,0.3,0.61,0.89,0.15,0.01,0.06,0.12,0.1,0.64,0.22,0.06,0.39,0.84,0.06,0.06,0.91,0.5,0.88,0.26,0.49
"Denville, New Jersey",34,27,17650,Denvilletownship,40.892222,-74.477778,1,0.01,0.53,0.01,0.94,0.2,0.03,0.34,0.39,0.27,0.36,0.02,0.76,0.79,0.77,0.13,0.77,0.44,0.15,0.56,0.75,0.69,0.67,0.38,0,0.51,1,0.62,0,0.04,0.1,0.18,0.58,0.11,0.68,0.42,0.37,0.21,0.66,0.25,0.4,0.25,0.26,0.52,0.88,0.88,0.97,0.74,0.51,0.48,0,0.04,0.01,0.15,0.26,0.32,0.3,0.09,0.14,0.15,0.13,0.82,0.04,0.2,0.21,0.57,0.58,0.34,0.89,0.04,0.27,0.5,0.01,0.88,0.86,0.25,0.54,0.33,0.03,0.08,0.5,0.49,0.5,0.8,0.76,0.96,0.8,0.69,0.52,0.65,0,0,0.26,0.64,0.8,0.74,0.73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.03,0.09,0.21,?,?,?,?,0,?,0.07
"Valparaiso, Indiana",18,?,?,Valparaisocity,41.4730948,-87.0611412,1,0.02,0.47,0.01,0.97,0.07,0.02,0.7,0.67,0.63,0.37,0,0,0.33,0.56,0.28,0.62,0.43,0.21,0.4,0.41,0.34,0.32,0.22,0.37,0.69,0.72,0.35,0.02,0.22,0.16,0.24,0.45,0.19,0.48,0.36,0.77,0.25,0.56,0.38,0.58,0.43,0.43,0.41,0.66,0.73,0.72,0.63,0.53,0.6,0.01,0.11,0,0.4,0.35,0.37,0.39,0.08,0.06,0.06,0.06,0.95,0.01,0.12,0.11,0.33,0.49,0.19,0.54,0.06,0.55,0.5,0.01,0.89,0.46,0.27,0.43,0.5,0.12,0.05,0.14,0.14,0.14,0.27,0.29,0.3,0.3,0.45,0.22,0.28,0,0,0.08,0.58,0.4,0.49,0.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.03,0.2,0.07,?,?,?,?,0,?,0.15
"Rostraver, Pennsylvania",42,129,66376,Rostravertownship,40.2056472,-79.8345189,1,0,0.41,0.05,0.96,0.01,0.01,0.37,0.37,0.24,0.55,0.01,0.58,0.23,0.34,0.33,0.51,0.7,0.36,0.87,0.24,0.22,0.21,0.24,0.15,0,0,0.31,0.01,0.28,0.27,0.38,0.19,0.72,0.25,0.39,0.35,0.49,0.34,0.31,0.29,0.27,0.3,0.41,0.76,0.74,0.83,0.89,0.45,0.31,0,0.06,0,0,0,0,0,0,0,0,0,0.94,0.02,0.1,0.12,0.46,0.45,0.41,0.83,0.04,0.42,0.5,0.01,0.75,0.83,0.31,0.84,0.44,0.05,0.18,0.08,0.09,0.1,0.06,0.12,0.15,0.2,0.19,0.2,0.28,0,0,0.02,0.98,0.91,0.78,0.93,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.09,0.03,0.05,?,?,?,?,0,?,0.03
"Modesto, California",6,?,?,Modestocity,37.6390972,-120.9968782,1,0.25,0.54,0.05,0.71,0.48,0.3,0.42,0.48,0.28,0.32,0.26,1,0.33,0.55,0.37,0.37,0.39,0.64,0.44,0.32,0.29,0.32,0.23,0.17,0.17,0.24,0.3,0.19,0.34,0.34,0.43,0.24,0.59,0.43,0.38,0.41,0.43,0.36,0.6,0.35,0.68,0.67,0.6,0.6,0.61,0.64,0.61,0.3,0.3,0.08,0.22,0.14,0.31,0.45,0.57,0.64,0.28,0.36,0.41,0.42,0.64,0.35,0.43,0.39,0.56,0.54,0.6,0.47,0.39,0.48,0.5,0.15,0.83,0.49,0.09,0.16,0.73,0.14,0.28,0.31,0.31,0.31,0.4,0.4,0.45,0.4,0.65,0.59,0.21,0.12,0.09,0.38,0.58,0.31,0.48,0.73,0.03,0.08,0.96,0.12,0.05,0.11,0.35,0.08,0.8,0.82,0.04,0.19,0.19,0.18,0.05,0.57,0.36,0.09,0.46,0.05,0.09,0.05,0.88,0.5,0.76,0.13,0.34
"Jacksonville, Florida",12,31,?,Jacksonvillecity,30.3321838,-81.655651,1,1,0.42,0.47,0.59,0.12,0.05,0.41,0.53,0.34,0.33,1,0.99,0.28,0.62,0.16,0.36,0.4,0.3,0.45,0.29,0.3,0.35,0.21,0.2,0.33,0.28,0.4,0.76,0.33,0.25,0.39,0.28,0.3,0.59,0.18,0.33,0.35,0.38,0.69,0.41,0.71,0.73,0.47,0.53,0.51,0.59,0.51,0.55,0.56,0.49,0.35,0.16,0.27,0.34,0.4,0.43,0.07,0.07,0.08,0.08,0.9,0.04,0.23,0.2,0.42,0.46,0.4,0.55,0.2,0.49,0.5,1,0.6,0.54,0.52,0.44,0.63,0.37,0.23,0.11,0.11,0.13,0.25,0.28,0.32,0.3,0.45,0.41,0.32,0.39,0.36,0.1,0.44,0.45,0.6,0.48,0.25,0.16,0.75,0.19,0.35,0.19,0.38,0.16,0.82,0.7,0.45,0.03,0.05,0.33,0.13,0.57,1,1,0.07,0.15,1,0.35,0.73,0,0.31,0.21,0.69
"Klamath Falls, Oregon",41,?,?,KlamathFallscity,42.224867,-121.7816704,1,0.01,0.34,0.02,0.87,0.07,0.11,0.49,0.56,0.43,0.47,0,0,0.13,0.4,0.26,0.42,0.52,0.41,0.41,0.17,0.2,0.2,0.13,0.08,0.18,0.17,0.19,0.03,0.58,0.31,0.42,0.24,0.63,0.32,0.45,0.44,0.56,0.34,0.72,0.49,0.69,0.72,0.4,0.49,0.53,0.47,0.68,0.37,0.48,0.01,0.2,0,0.48,0.55,0.59,0.56,0.14,0.14,0.13,0.12,0.9,0.1,0.23,0.18,0.32,0.37,0.32,0.38,0.18,0.71,0,0.03,0.68,0.38,0.33,0.4,0.23,0.54,0.29,0.06,0.06,0.08,0.14,0.17,0.18,0.16,0.54,0.38,0.42,0.05,0,0.12,0.41,0.37,0.51,0.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.09,0.06,?,?,?,?,0,?,0.21
"Sioux City, Iowa",19,193,93926,SiouxCitycity,42.4999942,-96.4003069,1,0.11,0.43,0.04,0.89,0.09,0.06,0.45,0.48,0.31,0.46,0.13,1,0.22,0.52,0.44,0.49,0.56,0.41,0.39,0.25,0.25,0.25,0.16,0.07,0.2,0.19,0.22,0.1,0.36,0.29,0.37,0.27,0.33,0.53,0.43,0.47,0.44,0.33,0.48,0.39,0.48,0.5,0.49,0.59,0.61,0.51,0.66,0.68,0.71,0.05,0.26,0.02,0.49,0.59,0.62,0.64,0.11,0.11,0.11,0.1,0.92,0.09,0.27,0.24,0.43,0.48,0.35,0.64,0.12,0.56,0,0.09,0.8,0.61,0.45,0.43,0.19,0.34,0.25,0.05,0.04,0.05,0.14,0.17,0.18,0.17,0.44,0.2,0.43,0.05,0.01,0.09,0.72,0.58,0.72,0.64,0.01,0.11,0.98,0.14,0.03,0.14,0.37,0.11,0.84,0.96,0,0,0,0,0.02,0.86,0.29,0.16,0.12,0.07,0.04,0.01,0.81,1,0.56,0.09,0.63
